Date,SHREECEM.NS
2019-07-03,20980.205078125
2019-07-04,21095.86328125
2019-07-05,20862.25390625
2019-07-08,20324.248046875
2019-07-09,20705.783203125
2019-07-10,20699.73046875
2019-07-11,20931.337890625
2019-07-12,20851.3671875
2019-07-15,20958.72265625
2019-07-16,21053.634765625
2019-07-17,21002.076171875
2019-07-18,20915.9609375
2019-07-19,20647.24609375
2019-07-22,20446.24609375
2019-07-23,20269.2734375
2019-07-24,20188.083984375
2019-07-25,20689.966796875
2019-07-26,20926.013671875
2019-07-29,20598.083984375
2019-07-30,20279.03515625
2019-07-31,19722.076171875
2019-08-01,19563.13671875
2019-08-02,19562.599609375
2019-08-05,19526.896484375
2019-08-06,19763.34765625
2019-08-07,19738.310546875
2019-08-08,19668.966796875
2019-08-09,19825.501953125
2019-08-13,19266.78125
2019-08-14,19245.212890625
2019-08-16,19048.76953125
2019-08-19,18984.0234375
2019-08-20,18591.666015625
2019-08-21,18291.83984375
2019-08-22,18034.70703125
2019-08-23,18005.65625
2019-08-26,18369.302734375
2019-08-27,18648.69140625
2019-08-28,18691.138671875
2019-08-29,18113.880859375
2019-08-30,18166.5
2019-09-03,17419.841796875
2019-09-04,17322.765625
2019-09-05,17216.748046875
2019-09-06,17478.62109375
2019-09-09,17672.185546875
2019-09-11,18084.87890625
2019-09-12,18174.5703125
2019-09-13,18386.22265625
2019-09-16,18482.6640625
2019-09-17,18283.52734375
2019-09-18,18277.41015625
2019-09-19,17533.98046875
2019-09-20,18827.97265625
2019-09-23,19481.515625
2019-09-24,19493.9375
2019-09-25,19030.7265625
2019-09-26,18940.349609375
2019-09-27,18901.419921875
2019-09-30,18473.9609375
2019-10-01,18186.009765625
2019-10-03,17859.193359375
2019-10-04,17730.76953125
2019-10-07,17435.396484375
2019-10-09,18077.4453125
2019-10-10,17868.140625
2019-10-11,17971.62109375
2019-10-14,18285.6328125
2019-10-15,18177.208984375
2019-10-16,18188.06640625
2019-10-17,17791.458984375
2019-10-18,18270.126953125
2019-10-22,19087.64453125
2019-10-23,19331.529296875
2019-10-24,19859.73828125
2019-10-25,19689.306640625
2019-10-27,19750.58203125
2019-10-29,19894.99609375
2019-10-30,19802.95703125
2019-10-31,19466.599609375
2019-11-01,19564.994140625
2019-11-04,19665.541015625
2019-11-05,19394.46875
2019-11-06,19366.7890625
2019-11-07,19601.279296875
2019-11-08,19547.6796875
2019-11-11,19350.16015625
2019-11-13,19311.431640625
2019-11-14,19239.15234375
2019-11-15,19103.443359375
2019-11-18,19433.587890625
2019-11-19,19568.080078125
2019-11-20,19845.01953125
2019-11-21,19849.66015625
2019-11-22,19852.59765625
2019-11-25,20128.4609375
2019-11-26,20578.47265625
2019-11-27,20870.033203125
2019-11-28,20720.833984375
2019-11-29,20536.125
2019-12-02,20459.296875
2019-12-03,20071.052734375
2019-12-04,19988.6484375
2019-12-05,19945.369140625
2019-12-06,19859.44140625
2019-12-09,19875.53515625
2019-12-10,19665.689453125
2019-12-11,19531.69140625
2019-12-12,19645.5390625
2019-12-13,19936.91015625
2019-12-16,19856.953125
2019-12-17,20144.205078125
2019-12-18,19892.79296875
2019-12-19,19871.177734375
2019-12-20,20102.58984375
2019-12-23,19853.52734375
2019-12-24,19824.822265625
2019-12-26,19888.541015625
2019-12-27,20056.427734375
2019-12-30,20047.869140625
2019-12-31,19917.39453125
2020-01-01,19874.30859375
2020-01-02,20766.5546875
2020-01-03,20659.06640625
2020-01-06,20602.486328125
2020-01-07,21481.525390625
2020-01-08,21949.189453125
2020-01-09,22314.25390625
2020-01-10,22833.466796875
2020-01-13,23306.654296875
2020-01-14,23043.357421875
2020-01-15,23208.21484375
2020-01-16,22780.109375
2020-01-17,22814.392578125
2020-01-20,22625.818359375
2020-01-21,22450.158203125
2020-01-22,22511.97265625
2020-01-23,22572.95703125
2020-01-24,22627.337890625
2020-01-27,23080.96484375
2020-01-28,22927.9453125
2020-01-29,22990.740234375
2020-01-30,22970.294921875
2020-01-31,22502.390625
2020-02-03,22757.275390625
2020-02-04,23948.46875
2020-02-05,24347.56640625
2020-02-06,24464.20703125
2020-02-07,24371.73046875
2020-02-10,24414.271484375
2020-02-11,24269.32421875
2020-02-12,24148.53125
2020-02-13,24076.30078125
2020-02-14,23897.8046875
2020-02-17,23501.146484375
2020-02-18,23255.84375
2020-02-19,23995.265625
2020-02-20,23872.17578125
2020-02-24,23414.525390625
2020-02-25,23159.51953125
2020-02-26,23054.4921875
2020-02-27,23395.810546875
2020-02-28,22274.1953125
2020-03-02,22638.74609375
2020-03-03,23180.251953125
2020-03-04,22849.0
2020-03-05,22662.51953125
2020-03-06,22705.99609375
2020-03-09,21477.58203125
2020-03-11,21511.72265625
2020-03-12,19918.697265625
2020-03-13,20935.291015625
2020-03-16,19805.2734375
2020-03-17,19655.38671875
2020-03-18,18956.291015625
2020-03-19,17421.13671875
2020-03-20,18572.8203125
2020-03-23,16662.599609375
2020-03-24,16682.8359375
2020-03-25,17133.06640625
2020-03-26,17246.83984375
2020-03-27,17357.078125
2020-03-30,16639.068359375
2020-03-31,17239.275390625
2020-04-01,16260.017578125
2020-04-03,15507.5712890625
2020-04-07,16343.4326171875
2020-04-08,15782.818359375
2020-04-09,16638.921875
2020-04-13,16998.3203125
2020-04-15,17821.11328125
2020-04-16,18597.62890625
2020-04-17,18615.166015625
2020-04-20,18664.443359375
2020-04-21,18498.935546875
2020-04-22,18880.8359375
2020-04-23,18380.353515625
2020-04-24,18262.150390625
2020-04-27,18688.953125
2020-04-28,18535.732421875
2020-04-29,18835.93359375
2020-04-30,19421.943359375
2020-05-04,18299.046875
2020-05-05,18188.021484375
2020-05-06,18413.90234375
2020-05-07,18109.8203125
2020-05-08,18404.912109375
2020-05-11,18583.875
2020-05-12,18792.458984375
2020-05-13,19417.37890625
2020-05-14,18972.84765625
2020-05-15,18844.826171875
2020-05-18,17835.01171875
2020-05-19,18019.7734375
2020-05-20,19071.931640625
2020-05-21,18914.2421875
2020-05-22,19561.806640625
2020-05-26,20305.609375
2020-05-27,20119.177734375
2020-05-28,20444.7265625
2020-05-29,20492.283203125
2020-06-01,20700.623046875
2020-06-02,20829.966796875
2020-06-03,21251.55859375
2020-06-04,21022.1953125
2020-06-05,21703.013671875
2020-06-08,20810.216796875
2020-06-09,20642.111328125
2020-06-10,21136.80078125
2020-06-11,20879.287109375
2020-06-12,22000.76171875
2020-06-15,21730.18359375
2020-06-16,21724.3359375
2020-06-17,21256.765625
2020-06-18,21483.42578125
2020-06-19,21299.55078125
2020-06-22,21632.271484375
2020-06-23,22357.998046875
2020-06-24,22171.32421875
2020-06-25,21682.58203125
2020-06-26,22129.6640625
2020-06-29,21950.947265625
2020-06-30,22647.640625
2020-07-01,22266.869140625
2020-07-02,22364.482421875
2020-07-03,22472.359375
2020-07-06,22706.6875
2020-07-07,22424.66015625
2020-07-08,22047.087890625
2020-07-09,22404.517578125
2020-07-10,21905.212890625
2020-07-13,21920.734375
2020-07-14,21699.232421875
2020-07-15,21460.974609375
2020-07-16,21350.7890625
2020-07-17,21880.20703125
2020-07-20,21876.427734375
2020-07-21,22048.01953125
2020-07-22,21594.791015625
2020-07-23,21190.689453125
2020-07-24,20959.408203125
2020-07-27,20744.34375
2020-07-28,21532.2109375
2020-07-29,21363.12109375
2020-07-30,21020.669921875
2020-07-31,21331.1875
2020-08-03,21366.65625
2020-08-04,21215.841796875
2020-08-05,21717.06640625
2020-08-06,21342.681640625
2020-08-07,21526.65625
2020-08-10,22004.443359375
2020-08-11,21174.4296875
2020-08-12,21004.7578125
2020-08-13,20865.33984375
2020-08-14,21082.71484375
2020-08-17,21136.26171875
2020-08-18,21530.78125
2020-08-19,21694.861328125
2020-08-20,21693.77734375
2020-08-21,21927.169921875
2020-08-24,21822.048828125
2020-08-25,21429.044921875
2020-08-26,21330.6953125
2020-08-27,21151.244140625
2020-08-28,20956.267578125
2020-08-31,19928.03515625
2020-09-01,20108.41796875
2020-09-02,20203.71875
2020-09-03,20071.4765625
2020-09-04,19674.845703125
2020-09-07,19436.73046875
2020-09-08,19017.10546875
2020-09-09,19061.958984375
2020-09-10,19299.572265625
2020-09-11,19161.189453125
2020-09-14,19443.166015625
2020-09-15,19714.091796875
2020-09-16,20031.046875
2020-09-17,19540.337890625
2020-09-18,19179.318359375
2020-09-21,18572.869140625
2020-09-22,18650.2421875
2020-09-23,18620.177734375
2020-09-24,18020.94921875
2020-09-25,18675.783203125
2020-09-28,19191.306640625
2020-09-29,19487.529296875
2020-09-30,19902.435546875
2020-10-01,20250.29296875
2020-10-05,19779.48046875
2020-10-06,19941.73828125
2020-10-07,20350.015625
2020-10-08,20372.66015625
2020-10-09,20827.509765625
2020-10-12,20589.349609375
2020-10-13,20718.943359375
2020-10-14,20766.005859375
2020-10-15,20280.99609375
2020-10-16,20806.826171875
2020-10-19,20732.943359375
2020-10-20,20814.048828125
2020-10-21,20777.40234375
2020-10-22,20624.330078125
2020-10-23,20162.013671875
2020-10-26,20067.251953125
2020-10-27,21353.982421875
2020-10-28,20987.36328125
2020-10-29,21297.638671875
2020-10-30,21314.880859375
2020-11-02,21292.083984375
2020-11-03,21493.25
2020-11-04,21526.90234375
2020-11-05,21850.193359375
2020-11-06,21667.10546875
2020-11-09,22209.09765625
2020-11-10,22364.43359375
2020-11-11,22467.3515625
2020-11-12,23031.35546875
2020-11-13,23025.36328125
2020-11-14,22954.376953125
2020-11-17,23569.912109375
2020-11-18,23648.017578125
2020-11-19,23247.5546875
2020-11-20,23529.578125
2020-11-23,24037.138671875
2020-11-24,23819.267578125
2020-11-25,23284.05078125
2020-11-26,23954.4609375
