Date,MTO.L
2019-05-20,77.19327545166016
2019-05-21,76.26690673828125
2019-05-22,78.47976684570312
2019-05-23,69.47386169433594
2019-05-24,68.49607849121094
2019-05-28,75.134765625
2019-05-29,70.91482543945312
2019-05-30,73.17920684814453
2019-05-31,76.36986541748047
2019-06-03,71.84120178222656
2019-06-04,72.04707336425781
2019-06-05,71.78966522216797
2019-06-06,75.39205932617188
2019-06-07,79.4575424194336
2019-06-10,82.49382019042969
2019-06-11,81.87628173828125
2019-06-12,80.33248138427734
2019-06-13,80.12659454345703
2019-06-14,80.84708404541016
2019-06-17,80.28096771240234
2019-06-18,81.82486724853516
2019-06-19,81.31027221679688
2019-06-20,81.0014419555664
2019-06-21,78.99446105957031
2019-06-24,78.73706817626953
2019-06-25,78.11952209472656
2019-06-26,77.60492706298828
2019-06-27,77.20694732666016
2019-06-28,75.30245971679688
2019-07-01,72.52300262451172
2019-07-02,74.63338470458984
2019-07-03,78.18489074707031
2019-07-04,78.5451889038086
2019-07-05,82.19965362548828
2019-07-08,80.44955444335938
2019-07-09,79.6260986328125
2019-07-10,81.2217025756836
2019-07-11,82.61138916015625
2019-07-12,81.83935546875
2019-07-15,82.66291046142578
2019-07-16,82.76577758789062
2019-07-17,84.15557098388672
2019-07-18,82.86872863769531
2019-07-19,84.67024993896484
2019-07-22,83.22904205322266
2019-07-23,82.92027282714844
2019-07-24,82.86872863769531
2019-07-25,83.38343048095703
2019-07-26,84.0526123046875
2019-07-29,82.86872863769531
2019-07-30,85.95708465576172
2019-07-31,84.92760467529297
2019-08-01,84.56729125976562
2019-08-02,84.00116729736328
2019-08-05,83.74373626708984
2019-08-06,86.62615203857422
2019-08-07,83.89822387695312
2019-08-08,84.92760467529297
2019-08-09,83.33200073242188
2019-08-12,82.3026123046875
2019-08-13,82.61138916015625
2019-08-14,82.61138916015625
2019-08-15,81.73638916015625
2019-08-16,81.83935546875
2019-08-19,83.17760467529297
2019-08-20,82.40547180175781
2019-08-21,82.81730651855469
2019-08-22,82.86872863769531
2019-08-23,79.47161102294922
2019-08-27,78.80254364013672
2019-08-28,79.00845336914062
2019-08-29,80.34671020507812
2019-08-30,75.45684814453125
2019-09-02,74.73633575439453
2019-09-03,73.08921813964844
2019-09-04,74.63338470458984
2019-09-05,75.30245971679688
2019-09-06,76.43478393554688
2019-09-09,77.05254364013672
2019-09-10,77.20694732666016
2019-09-11,79.00845336914062
2019-09-12,79.93487548828125
2019-09-13,80.14078521728516
2019-09-16,79.21427917480469
2019-09-17,80.29518127441406
2019-09-18,79.26580047607422
2019-09-19,81.27313995361328
2019-09-20,76.8980484008789
2019-09-23,77.46427154541016
2019-09-24,77.41275024414062
2019-09-25,75.45684814453125
2019-09-26,72.67747497558594
2019-09-27,75.92008972167969
2019-09-30,75.35398864746094
2019-10-01,75.14807891845703
2019-10-02,72.36859893798828
2019-10-03,73.65543365478516
2019-10-04,72.88330841064453
2019-10-07,75.25102996826172
2019-10-08,77.20694732666016
2019-10-09,75.45684814453125
2019-10-10,75.40541076660156
2019-10-11,77.20694732666016
2019-10-14,76.84664154052734
2019-10-15,77.20694732666016
2019-10-16,79.88343811035156
2019-10-17,82.25109100341797
2019-10-18,84.00116729736328
2019-10-21,82.71435546875
2019-10-22,81.78782653808594
2019-10-23,80.2437515258789
2019-10-24,85.85411834716797
2019-10-25,84.20699310302734
2019-10-28,82.71435546875
2019-10-29,82.0967025756836
2019-10-30,82.14811706542969
2019-10-31,81.53048706054688
2019-11-01,80.44955444335938
2019-11-04,80.55252075195312
2019-11-05,78.23631286621094
2019-11-06,75.19949340820312
2019-11-07,74.01573181152344
2019-11-08,72.36859893798828
2019-11-11,74.11860656738281
2019-11-12,73.55247497558594
2019-11-13,72.57452392578125
2019-11-14,72.72889709472656
2019-11-15,74.78777313232422
2019-11-18,74.37603759765625
2019-11-19,74.68480682373047
2019-11-20,73.39807891845703
2019-11-21,67.63323211669922
2019-11-22,67.27291107177734
2019-11-25,68.97146606445312
2019-11-26,69.38330841064453
2019-11-27,66.9126205444336
2019-11-28,67.1185302734375
2019-11-29,67.42740631103516
2019-12-02,64.75090026855469
2019-12-03,64.4420166015625
2019-12-04,65.16263580322266
2019-12-05,65.41997528076172
2019-12-06,66.03763580322266
2019-12-09,67.3758773803711
