Date,CWK.L
2018-02-07,3055.254150390625
2018-02-08,3025.300537109375
2018-02-09,3025.300537109375
2018-02-12,3061.244140625
2018-02-13,3073.226318359375
2018-02-14,3037.281982421875
2018-02-15,3031.29150390625
2018-02-16,3045.269775390625
2018-02-19,3027.29736328125
2018-02-20,3055.254150390625
2018-02-21,3095.19189453125
2018-02-22,3069.232421875
2018-02-23,3091.19873046875
2018-02-26,3099.18603515625
2018-02-27,3085.2080078125
2018-02-28,3053.257080078125
2018-03-01,3017.31298828125
2018-03-02,2971.38427734375
2018-03-05,2975.378662109375
2018-03-06,2969.38720703125
2018-03-07,2985.3623046875
2018-03-08,2995.34716796875
2018-03-09,2955.408935546875
2018-03-12,2983.36572265625
2018-03-13,2963.396484375
2018-03-14,2949.4189453125
2018-03-15,2887.5146484375
2018-03-16,2921.4619140625
2018-03-19,2871.53955078125
2018-03-20,2877.530029296875
2018-03-21,2873.536865234375
2018-03-22,2835.595947265625
2018-03-23,2815.626220703125
2018-03-26,2777.684814453125
2018-03-27,2775.688720703125
2018-03-28,2811.632080078125
2018-03-29,2839.589599609375
2018-04-03,2831.601806640625
2018-04-04,2813.629150390625
2018-04-05,2795.657470703125
2018-04-06,2787.670166015625
2018-04-09,2795.657470703125
2018-04-10,2787.670166015625
2018-04-11,2795.657470703125
2018-04-12,2795.657470703125
2018-04-13,2835.595947265625
2018-04-16,2847.57666015625
2018-04-17,2831.601806640625
2018-04-18,2857.561279296875
2018-04-19,2943.427978515625
2018-04-20,2909.48046875
2018-04-23,2903.490234375
2018-04-24,2879.52685546875
2018-04-25,2859.557861328125
2018-04-26,2947.421875
2018-04-27,2927.452880859375
2018-04-30,2909.48046875
2018-05-01,2897.4990234375
2018-05-02,2961.39990234375
2018-05-03,2985.3623046875
2018-05-04,2961.39990234375
2018-05-08,2995.34716796875
2018-05-09,3031.29150390625
2018-05-10,3035.285400390625
2018-05-11,3021.306640625
2018-05-14,3035.285400390625
2018-05-15,3029.294189453125
2018-05-16,3051.26025390625
2018-05-17,3061.244140625
2018-05-18,3065.23828125
2018-05-21,3159.092529296875
2018-05-22,3230.981689453125
2018-05-23,3199.03125
2018-05-24,3290.888427734375
2018-05-25,3364.773193359375
2018-05-29,3364.773193359375
2018-05-30,3368.767578125
2018-05-31,3368.767578125
2018-06-01,3374.75732421875
2018-06-04,3404.71142578125
2018-06-05,3442.652587890625
2018-06-06,3434.6650390625
2018-06-07,3364.773193359375
2018-06-08,3442.652587890625
2018-06-11,3454.633544921875
2018-06-12,3402.71484375
2018-06-13,3394.7265625
2018-06-14,3386.739501953125
2018-06-15,3358.78271484375
2018-06-18,3362.7763671875
2018-06-19,3348.7978515625
2018-06-20,3340.810302734375
2018-06-21,3320.841064453125
2018-06-22,3354.788818359375
2018-06-25,3342.807861328125
2018-06-26,3370.763916015625
2018-06-27,3368.767578125
2018-06-28,3342.807861328125
2018-06-29,3370.763916015625
2018-07-02,3354.788818359375
2018-07-03,3362.7763671875
2018-07-04,3360.779296875
2018-07-05,3354.788818359375
2018-07-06,3374.75732421875
2018-07-09,3350.795654296875
2018-07-10,3350.795654296875
2018-07-11,3348.7978515625
2018-07-12,3350.795654296875
2018-07-13,3336.81689453125
2018-07-16,3330.825927734375
2018-07-17,3332.8232421875
2018-07-18,3342.807861328125
2018-07-19,3309.2421875
2018-07-20,3297.258544921875
2018-07-23,3265.3046875
2018-07-24,3235.34814453125
2018-07-25,3253.321533203125
2018-07-26,3263.307861328125
2018-07-27,3299.25634765625
2018-07-30,3315.23291015625
2018-07-31,3269.29931640625
2018-08-01,3303.25048828125
2018-08-02,3299.25634765625
2018-08-03,3295.261962890625
2018-08-06,3301.253173828125
2018-08-07,3305.24755859375
2018-08-08,3307.244140625
2018-08-09,3301.253173828125
2018-08-10,3311.23876953125
2018-08-13,3297.258544921875
2018-08-14,3325.21875
2018-08-15,3331.2099609375
2018-08-16,3321.224365234375
2018-08-17,3317.230224609375
2018-08-20,3283.279052734375
2018-08-21,3247.330322265625
2018-08-22,3179.428466796875
2018-08-23,3159.45703125
2018-08-24,3227.358642578125
2018-08-28,3205.390869140625
2018-08-29,3195.4052734375
2018-08-30,3223.364501953125
2018-08-31,3225.3623046875
2018-09-03,3269.29931640625
2018-09-04,3209.385009765625
2018-09-05,3227.358642578125
2018-09-06,3225.3623046875
2018-09-07,3227.358642578125
2018-09-10,3227.358642578125
2018-09-11,3253.321533203125
2018-09-12,3289.270263671875
2018-09-13,3297.258544921875
2018-09-14,3285.276123046875
2018-09-17,3317.230224609375
2018-09-18,3329.212890625
2018-09-19,3327.2158203125
2018-09-20,3335.203857421875
2018-09-21,3357.1728515625
2018-09-24,3353.17822265625
2018-09-25,3367.158203125
2018-09-26,3369.15576171875
2018-09-27,3403.10693359375
2018-09-28,3379.14111328125
2018-10-01,3423.078125
2018-10-02,3449.040771484375
2018-10-03,3445.046630859375
2018-10-04,3413.0927734375
2018-10-05,3369.15576171875
2018-10-08,3231.353759765625
2018-10-09,3085.563232421875
2018-10-10,3013.6669921875
2018-10-11,2955.75
2018-10-12,2999.6865234375
2018-10-15,2957.74755859375
2018-10-16,3015.663818359375
2018-10-17,2987.7041015625
2018-10-18,2965.73583984375
2018-10-19,2947.76171875
2018-10-22,2949.7587890625
2018-10-23,2851.89892578125
2018-10-24,2913.810302734375
2018-10-25,2877.86181640625
2018-10-26,2869.873779296875
2018-10-29,2885.85009765625
2018-10-30,2893.839111328125
2018-10-31,2885.85009765625
2018-11-01,2903.82470703125
2018-11-02,2901.82763671875
2018-11-05,2833.925048828125
2018-11-06,2893.839111328125
2018-11-07,2881.856201171875
2018-11-08,2895.8359375
2018-11-09,2935.77880859375
2018-11-12,2829.9306640625
2018-11-13,2839.9169921875
2018-11-14,2985.706787109375
2018-11-15,3049.61474609375
2018-11-16,3059.600341796875
2018-11-19,2977.71826171875
2018-11-20,2913.810302734375
2018-11-21,2895.8359375
2018-11-22,2895.8359375
2018-11-23,2891.841796875
2018-11-26,2867.876220703125
2018-11-27,2869.873779296875
2018-11-28,2776.008544921875
2018-11-29,2778.00537109375
2018-11-30,2829.9306640625
2018-12-03,2781.99951171875
2018-12-04,2791.9853515625
2018-12-05,2817.94775390625
2018-12-06,2766.178466796875
2018-12-07,2782.156494140625
2018-12-10,2766.178466796875
2018-12-11,2796.13720703125
2018-12-12,2806.12353515625
2018-12-13,2802.12890625
2018-12-14,2754.1953125
2018-12-17,2628.36865234375
2018-12-18,2634.3603515625
2018-12-19,2678.300048828125
2018-12-20,2646.34375
2018-12-21,2716.247314453125
2018-12-24,2592.41845703125
2018-12-27,2516.5234375
2018-12-28,2608.39697265625
2018-12-31,2628.36865234375
2019-01-02,2612.3916015625
2019-01-03,2614.387939453125
2019-01-04,2646.34375
2019-01-07,2642.349853515625
2019-01-08,2696.275390625
2019-01-09,2746.2060546875
2019-01-10,2818.106201171875
2019-01-11,2808.120361328125
2019-01-14,2834.084716796875
2019-01-15,2842.0732421875
2019-01-16,2810.117919921875
2019-01-17,2860.049072265625
2019-01-18,2909.9794921875
2019-01-21,2894.002197265625
2019-01-22,2890.00732421875
2019-01-23,2919.966064453125
2019-01-24,2949.924560546875
2019-01-25,2884.015625
2019-01-28,2878.02392578125
2019-01-29,2899.993408203125
2019-01-30,2907.982666015625
2019-01-31,2880.02099609375
2019-02-01,2909.9794921875
2019-02-04,2919.966064453125
2019-02-05,2919.966064453125
2019-02-06,2959.91064453125
2019-02-07,2586.42724609375
2019-02-08,2546.482421875
2019-02-11,2606.399169921875
2019-02-12,2574.443115234375
2019-02-13,2524.512451171875
2019-02-14,2550.476806640625
2019-02-15,2526.509765625
2019-02-18,2540.490234375
2019-02-19,2534.498291015625
2019-02-20,2488.56201171875
2019-02-21,2496.55126953125
2019-02-22,2518.5205078125
2019-02-25,2516.5234375
2019-02-26,2498.548828125
2019-02-27,2486.564453125
2019-02-28,2468.590087890625
2019-03-01,2514.526123046875
2019-03-04,2508.5341796875
2019-03-05,2526.509765625
2019-03-06,2526.509765625
2019-03-07,2528.5068359375
2019-03-08,2538.492919921875
2019-03-11,2536.495849609375
2019-03-12,2534.498291015625
2019-03-13,2542.4873046875
2019-03-14,2564.457275390625
2019-03-15,2622.37744140625
2019-03-18,2622.37744140625
2019-03-19,2654.332763671875
2019-03-20,2620.38037109375
2019-03-21,2644.34716796875
2019-03-22,2642.349853515625
2019-03-25,2586.42724609375
2019-03-26,2662.322265625
2019-03-27,2656.329833984375
2019-03-28,2662.322265625
2019-03-29,2718.2451171875
2019-04-01,2726.233642578125
2019-04-02,2738.217529296875
2019-04-03,2764.181396484375
2019-04-04,2828.093017578125
2019-04-05,2850.06298828125
2019-04-08,2814.112548828125
2019-04-09,2836.08203125
2019-04-10,2868.0380859375
2019-04-11,2876.026611328125
2019-04-12,2868.0380859375
2019-04-15,2888.01025390625
2019-04-16,2892.0048828125
2019-04-17,2895.9990234375
2019-04-18,2862.0458984375
