Date,REL.L
2020-01-03,1907.594970703125
2020-01-06,1896.1094970703125
2020-01-07,1890.6160888671875
2020-01-08,1897.607421875
2020-01-09,1926.57080078125
2020-01-10,1929.5672607421875
2020-01-13,1944.048828125
2020-01-14,1972.013671875
2020-01-15,1998.4801025390625
2020-01-16,1987.493896484375
2020-01-17,2001.4764404296875
2020-01-20,1992.4876708984375
2020-01-21,1993.9859619140625
2020-01-22,2002.474853515625
2020-01-23,1998.4801025390625
2020-01-24,2047.4180908203125
2020-01-27,2017.456298828125
2020-01-28,2043.423583984375
2020-01-29,2028.442138671875
2020-01-30,2028.442138671875
2020-01-31,2010.4652099609375
2020-02-03,2014.460205078125
2020-02-04,2056.4072265625
2020-02-05,2076.381591796875
2020-02-06,2092.361572265625
2020-02-07,2084.37158203125
2020-02-10,2072.38671875
2020-02-11,2057.40576171875
2020-02-12,2036.4324951171875
2020-02-13,2069.390380859375
2020-02-14,2070.3896484375
2020-02-17,2070.3896484375
2020-02-18,2078.37939453125
2020-02-19,2096.35693359375
2020-02-20,2079.3779296875
2020-02-21,2069.390380859375
2020-02-24,2001.4764404296875
2020-02-25,1978.5052490234375
2020-02-26,1991.4891357421875
2020-02-27,1943.54931640625
2020-02-28,1865.1483154296875
2020-03-02,1883.125732421875
2020-03-03,1918.08154296875
2020-03-04,1930.56591796875
2020-03-05,1903.1004638671875
2020-03-06,1844.673828125
2020-03-09,1728.820068359375
2020-03-10,1693.8643798828125
2020-03-11,1682.878173828125
2020-03-12,1501.1072998046875
2020-03-13,1521.5816650390625
2020-03-16,1532.5677490234375
2020-03-17,1540.058349609375
2020-03-18,1503.104736328125
2020-03-19,1533.0670166015625
2020-03-20,1502.6053466796875
2020-03-23,1480.6331787109375
2020-03-24,1588.4971923828125
2020-03-25,1715.337158203125
2020-03-26,1767.77099609375
2020-03-27,1691.3675537109375
2020-03-30,1724.8253173828125
2020-03-31,1729.8189697265625
2020-04-01,1659.9068603515625
