Date,GE
2020-07-06,34.098182678222656
2020-07-07,32.92910385131836
2020-07-08,33.41621780395508
2020-07-09,32.05229568481445
2020-07-10,32.58811569213867
2020-07-13,32.6368293762207
2020-07-14,33.513641357421875
2020-07-15,34.780147552490234
2020-07-16,34.34173583984375
2020-07-17,34.439170837402344
2020-07-20,33.464927673339844
2020-07-21,34.293025970458984
2020-07-22,34.390445709228516
2020-07-23,34.293025970458984
2020-07-24,33.41621780395508
2020-07-27,32.685550689697266
2020-07-28,33.56236267089844
2020-07-29,32.10101318359375
2020-07-30,30.493520736694336
2020-07-31,29.5679988861084
2020-08-03,29.762842178344727
2020-08-04,29.908979415893555
2020-08-05,31.17548179626465
2020-08-06,30.834501266479492
2020-08-07,31.17548179626465
2020-08-10,32.49069595336914
2020-08-11,32.782958984375
2020-08-12,32.7342643737793
2020-08-13,32.14971923828125
2020-08-14,32.441986083984375
2020-08-17,31.516468048095703
2020-08-18,31.370330810546875
2020-08-19,31.07806396484375
2020-08-20,30.542236328125
2020-08-21,30.73708152770996
2020-08-24,32.29585647583008
2020-08-25,32.10101318359375
2020-08-26,31.565183639526367
2020-08-27,31.565183639526367
2020-08-28,32.198429107666016
2020-08-31,30.883211135864258
2020-09-01,30.152542114257812
2020-09-02,31.370330810546875
2020-09-03,30.785785675048828
2020-09-04,31.272907257080078
2020-09-08,29.908979415893555
2020-09-09,30.00640106201172
2020-09-10,29.22701644897461
2020-09-11,28.983455657958984
2020-09-14,29.957691192626953
2020-09-15,29.71413230895996
2020-09-16,32.88038635253906
2020-09-17,34.34173583984375
2020-09-18,33.513641357421875
2020-09-21,30.931922912597656
2020-09-22,30.44481086730957
2020-09-23,29.762842178344727
2020-09-24,29.519285202026367
2020-09-25,29.812034606933594
2020-09-28,30.251169204711914
2020-09-29,29.860830307006836
2020-09-30,30.39754295349121
2020-10-01,30.44633674621582
2020-10-02,31.17822265625
2020-10-05,31.27581024169922
2020-10-06,30.10478973388672
2020-10-07,30.78788185119629
2020-10-08,32.44682312011719
2020-10-09,33.373870849609375
2020-10-12,33.325077056884766
2020-10-13,32.78834915161133
2020-10-14,33.27628707885742
2020-10-15,33.52024841308594
2020-10-16,35.569522857666016
2020-10-19,35.569522857666016
2020-10-20,35.813480377197266
2020-10-21,35.71590042114258
2020-10-22,37.66758346557617
2020-10-23,37.228450775146484
2020-10-26,36.00864791870117
2020-10-27,34.64247512817383
2020-10-28,36.20382308959961
2020-10-29,35.95985412597656
2020-10-30,36.20382308959961
2020-11-02,36.691741943359375
2020-11-03,38.301883697509766
2020-11-04,38.301883697509766
2020-11-05,38.9849739074707
2020-11-06,39.472896575927734
2020-11-09,42.54680252075195
2020-11-10,43.815406799316406
2020-11-11,43.37627029418945
2020-11-12,42.741973876953125
2020-11-13,45.13278579711914
2020-11-16,46.69414520263672
2020-11-17,47.23085403442383
2020-11-18,47.474815368652344
2020-11-19,47.13327407836914
2020-11-20,47.62120056152344
2020-11-23,49.133758544921875
2020-11-24,50.98786163330078
2020-11-25,51.231815338134766
2020-11-27,50.743900299072266
2020-11-30,49.670467376708984
2020-12-01,49.52408981323242
2020-12-02,50.89027404785156
2020-12-03,51.7197380065918
2020-12-04,53.0859260559082
2020-12-07,52.98833465576172
2020-12-08,53.476261138916016
2020-12-09,55.574317932128906
2020-12-10,55.23278045654297
2020-12-11,54.45210266113281
2020-12-14,52.841957092285156
2020-12-15,54.20813751220703
2020-12-16,53.32987594604492
2020-12-17,53.0859260559082
2020-12-18,52.792903900146484
2020-12-21,52.59754180908203
2020-12-22,51.816162109375
2020-12-23,53.03708267211914
2020-12-24,52.01150894165039
2020-12-28,51.96267318725586
2020-12-29,51.57197570800781
2020-12-30,52.30452346801758
2020-12-31,52.74406433105469
2021-01-04,51.1324348449707
2021-01-05,52.59754180908203
2021-01-06,55.47893524169922
2021-01-07,55.039405822753906
2021-01-08,55.381263732910156
2021-01-11,55.91847610473633
2021-01-12,57.53009033203125
2021-01-13,56.5045280456543
2021-01-14,56.944053649902344
2021-01-15,55.332427978515625
2021-01-19,55.82079315185547
2021-01-20,55.62544250488281
