Date,ITV.L
2017-11-23,151.8529052734375
2017-11-24,149.86009216308594
2017-11-27,150.65721130371094
2017-11-28,154.4435577392578
2017-11-29,157.8313446044922
2017-11-30,159.3259735107422
2017-12-01,158.42919921875
2017-12-04,160.42201232910156
2017-12-05,158.13027954101562
2017-12-06,158.3295440673828
2017-12-07,158.3295440673828
2017-12-08,163.11233520507812
2017-12-11,165.00552368164062
2017-12-12,163.809814453125
2017-12-13,164.67967224121094
2017-12-14,165.70298767089844
2017-12-15,165.10516357421875
2017-12-18,164.70660400390625
2017-12-19,164.70660400390625
2017-12-20,164.40765380859375
2017-12-21,164.50730895996094
2017-12-22,164.50730895996094
2017-12-27,163.41127014160156
2017-12-28,163.809814453125
2017-12-29,164.9058837890625
2018-01-02,167.19760131835938
2018-01-03,170.28643798828125
2018-01-04,169.93772888183594
2018-01-05,170.28643798828125
2018-01-08,168.9413299560547
2018-01-09,169.14060974121094
2018-01-10,167.59616088867188
2018-01-11,167.1477813720703
2018-01-12,167.3968963623047
2018-01-15,171.33270263671875
2018-01-16,168.49295043945312
2018-01-17,164.75640869140625
2018-01-18,164.8062286376953
2018-01-19,164.3578338623047
2018-01-22,164.0091094970703
2018-01-23,163.5607147216797
2018-01-24,167.3968963623047
2018-01-25,170.03738403320312
2018-01-26,171.0836181640625
2018-01-29,170.3363037109375
2018-01-30,167.3968963623047
2018-01-31,166.40049743652344
2018-02-01,172.22947692871094
2018-02-02,168.2438507080078
2018-02-05,164.40765380859375
2018-02-06,160.12307739257812
2018-02-07,166.84886169433594
2018-02-08,164.40765380859375
2018-02-09,159.42562866210938
2018-02-12,161.01988220214844
2018-02-13,160.07327270507812
2018-02-14,164.8062286376953
2018-02-15,167.3968963623047
2018-02-16,171.33270263671875
2018-02-19,169.88792419433594
2018-02-20,170.73489379882812
2018-02-21,171.6316375732422
2018-02-22,170.23666381835938
2018-02-23,169.93772888183594
2018-02-26,170.8345184326172
2018-02-27,172.57823181152344
2018-02-28,159.42562866210938
2018-03-01,154.84213256835938
2018-03-02,153.34750366210938
2018-03-05,154.4435577392578
2018-03-06,153.048583984375
2018-03-07,151.40447998046875
2018-03-08,153.29771423339844
2018-03-09,152.6500244140625
2018-03-12,151.50416564941406
2018-03-13,148.56475830078125
2018-03-14,148.9633026123047
2018-03-15,147.4686737060547
2018-03-16,147.0701141357422
2018-03-19,145.02748107910156
2018-03-20,144.3300018310547
2018-03-21,142.38697814941406
2018-03-22,144.23036193847656
2018-03-23,144.87802124023438
2018-03-26,144.7285614013672
2018-03-27,144.57911682128906
2018-03-28,144.47946166992188
2018-03-29,143.63250732421875
2018-04-03,141.93862915039062
2018-04-04,141.88876342773438
2018-04-05,145.6751251220703
2018-04-06,147.56834411621094
2018-04-09,148.56475830078125
2018-04-10,150.35829162597656
2018-04-11,149.66078186035156
2018-04-12,142.4370880126953
2018-04-13,143.7328643798828
2018-04-16,143.38401794433594
2018-04-17,142.63641357421875
2018-04-18,141.988525390625
2018-04-19,144.82931518554688
2018-04-20,144.48045349121094
2018-04-23,145.3276824951172
2018-04-24,144.03189086914062
2018-04-25,144.38076782226562
2018-04-26,147.96908569335938
2018-04-27,149.11538696289062
2018-04-30,151.15872192382812
2018-05-01,153.60079956054688
2018-05-02,151.05905151367188
2018-05-03,149.61376953125
2018-05-04,150.76002502441406
2018-05-08,149.7632598876953
2018-05-09,150.71018981933594
2018-05-10,159.83056640625
2018-05-11,171.44281005859375
2018-05-14,167.55545043945312
2018-05-15,165.11337280273438
2018-05-16,165.5619354248047
2018-05-17,168.80137634277344
2018-05-18,169.05059814453125
2018-05-21,170.44606018066406
2018-05-22,170.04734802246094
2018-05-23,169.29978942871094
2018-05-24,165.71142578125
2018-05-25,167.4059295654297
2018-05-29,162.0234375
2018-05-30,162.6214599609375
2018-05-31,162.0732421875
2018-06-01,163.86740112304688
2018-06-04,165.71142578125
2018-06-05,167.10687255859375
2018-06-06,169.99749755859375
2018-06-07,170.3463592529297
2018-06-08,168.60202026367188
2018-06-11,171.44281005859375
2018-06-12,170.74508666992188
2018-06-13,171.29330444335938
2018-06-14,174.08421325683594
2018-06-15,169.24993896484375
2018-06-18,168.4027099609375
2018-06-19,169.349609375
2018-06-20,172.5890655517578
2018-06-21,173.08746337890625
2018-06-22,176.02792358398438
2018-06-25,176.42662048339844
2018-06-26,175.3301544189453
2018-06-27,174.1340789794922
2018-06-28,171.94119262695312
2018-06-29,173.43629455566406
2018-07-02,170.44606018066406
2018-07-03,170.3463592529297
2018-07-04,172.63893127441406
2018-07-05,172.4395751953125
2018-07-06,179.81558227539062
2018-07-09,178.56964111328125
2018-07-10,179.4168701171875
2018-07-11,176.8751678466797
2018-07-12,175.03115844726562
2018-07-13,174.5327911376953
2018-07-16,173.6855010986328
2018-07-17,171.89132690429688
2018-07-18,173.73536682128906
2018-07-19,172.33990478515625
2018-07-20,171.49267578125
2018-07-23,170.19686889648438
2018-07-24,169.8978271484375
2018-07-25,171.44281005859375
2018-07-26,164.76454162597656
2018-07-27,165.8111114501953
2018-07-30,164.8143310546875
2018-07-31,164.3159637451172
2018-08-01,160.8273162841797
2018-08-02,161.47520446777344
2018-08-03,163.4188995361328
2018-08-06,164.9638671875
2018-08-07,167.00721740722656
2018-08-08,169.44927978515625
2018-08-09,169.5489959716797
2018-08-10,168.30300903320312
2018-08-13,165.71142578125
2018-08-14,164.21630859375
2018-08-15,163.0700225830078
2018-08-16,165.8111114501953
2018-08-17,166.06027221679688
2018-08-20,165.61175537109375
2018-08-21,164.3159637451172
2018-08-22,166.50885009765625
2018-08-23,166.95738220214844
2018-08-24,164.9638671875
2018-08-28,164.21630859375
2018-08-29,163.4188995361328
2018-08-30,161.52503967285156
2018-08-31,160.1295623779297
2018-09-03,161.0266571044922
2018-09-04,160.47842407226562
2018-09-05,158.23574829101562
2018-09-06,158.38522338867188
2018-09-07,157.88685607910156
2018-09-10,160.07974243164062
2018-09-11,159.0331573486328
2018-09-12,161.47520446777344
2018-09-13,158.73411560058594
2018-09-14,159.28233337402344
2018-09-17,157.48817443847656
2018-09-18,152.75355529785156
2018-09-19,152.50437927246094
2018-09-20,151.40789794921875
2018-09-21,150.8596954345703
2018-09-24,151.05905151367188
2018-09-25,156.09271240234375
2018-09-26,156.6409149169922
2018-09-27,157.7871856689453
2018-09-28,157.33865356445312
2018-10-01,157.93670654296875
2018-10-02,155.89334106445312
2018-10-03,161.77426147460938
2018-10-04,159.48167419433594
2018-10-05,160.229248046875
2018-10-08,157.68751525878906
2018-10-09,158.5347442626953
2018-10-10,159.43182373046875
2018-10-11,155.39495849609375
2018-10-12,159.33213806152344
2018-10-15,159.38201904296875
2018-10-16,159.18267822265625
2018-10-17,156.93994140625
2018-10-18,153.75027465820312
2018-10-19,152.9030303955078
2018-10-22,153.99949645996094
2018-10-23,152.75355529785156
2018-10-24,150.6603546142578
