Date,M&M.NS
2020-11-05,574.4013061523438
2020-11-06,585.3723754882812
2020-11-09,587.995849609375
2020-11-10,591.4302368164062
2020-11-11,604.07080078125
2020-11-12,603.59375
2020-11-13,600.8748168945312
2020-11-14,602.3057861328125
2020-11-17,607.9344482421875
2020-11-18,673.283203125
2020-11-19,671.518310546875
2020-11-20,682.6799926757812
2020-11-23,672.9968872070312
2020-11-24,695.7974243164062
2020-11-25,686.8299560546875
2020-11-26,694.986572265625
2020-11-27,688.7855834960938
2020-12-01,700.75830078125
2020-12-02,718.9319458007812
2020-12-03,711.5384521484375
2020-12-04,716.0221557617188
2020-12-07,717.6917114257812
2020-12-08,719.3134765625
2020-12-09,720.2675170898438
2020-12-10,702.2847290039062
2020-12-11,694.0802612304688
2020-12-14,678.9593505859375
2020-12-15,684.921875
2020-12-16,698.2779541015625
2020-12-17,697.0377197265625
2020-12-18,699.8519287109375
2020-12-21,654.39404296875
2020-12-22,663.0753784179688
2020-12-23,678.7686157226562
2020-12-24,678.1962890625
2020-12-28,678.2440185546875
2020-12-29,674.5233764648438
2020-12-30,687.54541015625
2020-12-31,687.4500122070312
2021-01-01,698.7550048828125
2021-01-04,714.6389770507812
2021-01-05,706.0529174804688
2021-01-06,702.2369384765625
2021-01-07,710.1551513671875
2021-01-08,735.0545043945312
2021-01-11,752.7987670898438
2021-01-12,743.9743041992188
2021-01-13,790.2431640625
2021-01-14,791.721923828125
2021-01-15,781.9434814453125
2021-01-18,771.7833251953125
2021-01-19,770.8770141601562
2021-01-20,786.5703125
2021-01-21,771.0678100585938
2021-01-22,761.6710205078125
2021-01-25,757.9981079101562
2021-01-27,734.52978515625
2021-01-28,729.8074340820312
2021-01-29,715.115966796875
2021-02-01,758.5704345703125
2021-02-02,779.2721557617188
2021-02-03,794.8700561523438
2021-02-04,826.6381225585938
2021-02-05,825.6841430664062
2021-02-08,885.6905517578125
2021-02-09,853.8270874023438
2021-02-10,872.0961303710938
2021-02-11,872.1438598632812
2021-02-12,866.7537231445312
2021-02-15,869.9019165039062
2021-02-16,870.23583984375
2021-02-17,872.8591918945312
2021-02-18,853.3023071289062
2021-02-19,838.8015747070312
2021-02-22,798.5906372070312
2021-02-23,802.2635498046875
2021-02-24,810.5155639648438
2021-02-25,819.483154296875
2021-02-26,769.302978515625
2021-03-01,781.7526245117188
2021-03-02,820.48486328125
2021-03-03,812.8529052734375
2021-03-04,806.3656616210938
2021-03-05,801.7388305664062
2021-03-08,811.8511962890625
2021-03-09,812.80517578125
2021-03-10,824.0623168945312
2021-03-12,816.4303588867188
2021-03-15,805.5548095703125
2021-03-16,804.0760498046875
2021-03-17,798.4475708007812
2021-03-18,806.747314453125
2021-03-19,811.1834106445312
2021-03-22,813.8068237304688
2021-03-23,805.7933349609375
2021-03-24,774.0729370117188
2021-03-25,755.2791748046875
2021-03-26,762.5772094726562
2021-03-30,758.4273681640625
2021-03-31,758.6658935546875
2021-04-01,770.44775390625
2021-04-05,738.82275390625
2021-04-06,745.1668090820312
2021-04-07,759.6676025390625
2021-04-08,758.5704345703125
2021-04-09,754.7545776367188
2021-04-12,716.9285888671875
2021-04-13,773.9298095703125
2021-04-15,768.062744140625
2021-04-16,783.8514404296875
2021-04-19,758.379638671875
2021-04-20,773.8344116210938
2021-04-22,762.9111938476562
2021-04-23,742.114013671875
2021-04-26,744.5944213867188
2021-04-27,742.5911254882812
2021-04-28,746.1207885742188
2021-04-29,738.9658813476562
2021-04-30,717.9302368164062
2021-05-03,718.3118896484375
2021-05-04,707.0546264648438
2021-05-05,713.1602783203125
2021-05-06,713.0171508789062
2021-05-07,732.0971069335938
2021-05-10,744.5467529296875
2021-05-11,740.3013916015625
2021-05-12,724.7513427734375
2021-05-14,707.3885498046875
2021-05-17,718.8842163085938
2021-05-18,761.003173828125
2021-05-19,748.6965942382812
2021-05-20,766.2978515625
2021-05-21,781.2755737304688
2021-05-24,772.7373046875
2021-05-25,773.9298095703125
2021-05-26,783.422119140625
2021-05-27,790.4816284179688
2021-05-28,806.9381103515625
2021-05-31,770.7816162109375
2021-06-01,769.2075805664062
2021-06-02,769.1121215820312
2021-06-03,765.153076171875
2021-06-04,767.5857543945312
2021-06-07,766.8702392578125
2021-06-08,770.6861572265625
2021-06-09,767.442626953125
2021-06-10,769.82763671875
2021-06-11,771.7833251953125
2021-06-14,770.3046875
2021-06-15,771.4016723632812
2021-06-16,769.064453125
2021-06-17,768.6350708007812
2021-06-18,745.5961303710938
2021-06-21,741.1123046875
2021-06-22,739.5382690429688
2021-06-23,745.9777221679688
2021-06-24,755.3745727539062
2021-06-25,757.7119140625
2021-06-28,756.996337890625
2021-06-29,745.643798828125
2021-06-30,741.9232177734375
2021-07-01,743.5927734375
2021-07-02,746.5977783203125
2021-07-05,755.326904296875
2021-07-06,745.9299926757812
2021-07-07,743.0680541992188
2021-07-08,740.5399780273438
2021-07-09,736.05615234375
2021-07-12,737.29638671875
2021-07-13,745.2145385742188
2021-07-14,749.9844360351562
2021-07-15,752.3963623046875
2021-07-16,752.2998657226562
2021-07-19,748.4409790039062
2021-07-20,733.3911743164062
2021-07-22,731.7028198242188
2021-07-23,737.2500610351562
2021-07-26,727.6991577148438
2021-07-27,719.2577514648438
2021-07-28,703.0020141601562
2021-07-29,705.655029296875
2021-07-30,716.8941040039062
2021-08-02,730.979248046875
2021-08-03,743.66552734375
2021-08-04,739.2277221679688
2021-08-05,732.571044921875
2021-08-06,731.5098876953125
2021-08-09,747.6209106445312
2021-08-10,758.5706176757812
2021-08-11,751.2387084960938
2021-08-12,748.8268432617188
2021-08-13,751.1905517578125
2021-08-16,771.1121215820312
2021-08-17,762.767333984375
2021-08-18,763.4425659179688
2021-08-20,757.943603515625
2021-08-23,738.89013671875
2021-08-24,750.7081298828125
2021-08-25,744.8232421875
2021-08-26,753.8434448242188
2021-08-27,747.8139038085938
2021-08-30,763.6355590820312
2021-08-31,765.32373046875
2021-09-01,742.7490234375
2021-09-02,725.9143676757812
2021-09-03,723.4544067382812
2021-09-06,728.1333618164062
2021-09-07,726.5414428710938
2021-09-08,728.1333618164062
2021-09-09,724.2744140625
2021-09-13,719.2577514648438
2021-09-14,723.7437744140625
2021-09-15,728.4708862304688
2021-09-16,730.2556762695312
2021-09-17,727.5545043945312
2021-09-20,712.0221557617188
2021-09-21,712.4081420898438
2021-09-22,725.9625854492188
2021-09-23,731.7028198242188
2021-09-24,751.9622192382812
2021-09-27,782.7372436523438
2021-09-28,777.6241455078125
2021-09-29,783.4607543945312
2021-09-30,774.72998046875
2021-10-01,798.6553955078125
2021-10-04,811.4863891601562
2021-10-05,813.3193359375
2021-10-06,804.6849365234375
2021-10-07,847.2780151367188
2021-10-08,846.8438720703125
2021-10-11,864.01611328125
2021-10-12,858.7100830078125
2021-10-13,902.3643188476562
2021-10-14,898.5535888671875
2021-10-18,878.8248291015625
2021-10-19,885.143798828125
2021-10-20,867.6338500976562
2021-10-21,865.3667602539062
2021-10-22,856.5394287109375
2021-10-25,859.2889404296875
2021-10-26,863.003173828125
2021-10-27,855.5264282226562
2021-10-28,852.6805419921875
2021-10-29,853.0664672851562
2021-11-01,839.6565551757812
2021-11-02,831.1187133789062
2021-11-03,819.0595092773438
2021-11-04,842.0684204101562
2021-11-08,829.189208984375
2021-11-09,860.6878051757812
2021-11-10,887.218017578125
2021-11-11,892.13818359375
2021-11-12,904.7279663085938
2021-11-15,895.659423828125
2021-11-16,926.4344482421875
2021-11-17,920.790771484375
2021-11-18,891.1251220703125
2021-11-22,869.0809936523438
2021-11-23,869.5632934570312
2021-11-24,861.7008056640625
2021-11-25,859.7713012695312
2021-11-26,823.6419677734375
2021-11-29,820.7959594726562
2021-11-30,806.0355834960938
2021-12-01,805.2638549804688
2021-12-02,819.590087890625
2021-12-03,807.4344482421875
2021-12-06,793.1564331054688
2021-12-07,796.8223876953125
2021-12-08,811.1004638671875
2021-12-09,821.0853881835938
2021-12-10,829.3821411132812
2021-12-13,813.3675537109375
2021-12-14,807.3380126953125
2021-12-15,816.3582763671875
2021-12-16,823.2078247070312
2021-12-17,805.1672973632812
2021-12-20,785.583251953125
2021-12-21,783.5573120117188
2021-12-22,789.828125
2021-12-23,797.6906127929688
2021-12-24,783.991455078125
2021-12-27,789.683349609375
2021-12-28,809.1227416992188
2021-12-29,803.3343505859375
2021-12-30,800.0542602539062
2021-12-31,807.6275024414062
2022-01-03,800.53662109375
2022-01-04,802.5142822265625
2022-01-05,809.89453125
2022-01-06,810.232177734375
2022-01-07,799.7648315429688
2022-01-10,812.2581176757812
2022-01-11,811.7275390625
2022-01-12,849.4968872070312
2022-01-13,864.4020385742188
2022-01-14,850.1240234375
2022-01-17,869.0327758789062
2022-01-18,860.6878051757812
2022-01-19,862.8585205078125
2022-01-20,849.4486083984375
2022-01-21,844.3355712890625
2022-01-24,824.5584716796875
2022-01-25,824.3656005859375
2022-01-27,827.790283203125
2022-01-28,838.9812622070312
2022-01-31,854.5617065429688
2022-02-01,839.0294799804688
2022-02-02,838.6918334960938
2022-02-03,826.005615234375
2022-02-04,812.0169677734375
2022-02-07,800.2471313476562
2022-02-08,802.707275390625
2022-02-09,810.5698852539062
2022-02-10,822.9666748046875
2022-02-11,823.5455932617188
2022-02-14,795.9541015625
2022-02-15,824.4620361328125
2022-02-16,833.771728515625
2022-02-17,831.8422241210938
2022-02-18,821.9536743164062
2022-02-21,811.4380493164062
2022-02-22,823.1596069335938
2022-02-23,820.3136596679688
2022-02-24,767.7356567382812
2022-02-25,779.1194458007812
2022-02-28,762.9601440429688
2022-03-02,750.9010620117188
2022-03-03,735.1758422851562
2022-03-04,706.4750366210938
2022-03-07,666.1973266601562
2022-03-08,675.941162109375
2022-03-09,708.93505859375
2022-03-10,712.7940063476562
2022-03-11,708.8867797851562
2022-03-14,716.9905395507812
2022-03-15,734.3558349609375
2022-03-16,746.3668212890625
2022-03-17,766.385009765625
2022-03-21,755.8694458007812
2022-03-22,757.8953247070312
2022-03-23,746.8008422851562
2022-03-24,738.6489868164062
2022-03-25,737.7805786132812
2022-03-28,742.1218872070312
2022-03-29,746.0773315429688
2022-03-30,765.3720703125
2022-03-31,778.1065673828125
2022-04-01,797.4011840820312
2022-04-04,804.299072265625
2022-04-05,807.048583984375
2022-04-06,798.6553955078125
2022-04-07,804.8779296875
2022-04-08,827.1632690429688
2022-04-11,826.632568359375
2022-04-12,830.4434204101562
2022-04-13,835.5564575195312
2022-04-18,843.2743530273438
2022-04-19,841.7307739257812
2022-04-20,850.1721801757812
2022-04-21,878.873046875
2022-04-22,888.1827392578125
2022-04-25,872.1199340820312
2022-04-26,906.9949951171875
2022-04-27,894.1640625
2022-04-28,890.3533935546875
