Date,RMV.L
2023-01-24,578.5670166015625
2023-01-25,574.3687133789062
2023-01-26,579.36669921875
2023-01-27,587.3634643554688
2023-01-30,588.962890625
2023-01-31,586.5637817382812
2023-02-01,580.7661743164062
2023-02-02,612.5533447265625
2023-02-03,615.15234375
2023-02-06,600.9580688476562
2023-02-07,589.5626220703125
2023-02-08,590.7620849609375
2023-02-09,588.7628784179688
2023-02-10,582.1655883789062
2023-02-13,584.3646240234375
2023-02-14,581.7657470703125
2023-02-15,590.9620361328125
2023-02-16,589.762451171875
2023-02-17,577.1676635742188
2023-02-20,576.3677978515625
2023-02-21,559.1748657226562
2023-02-22,560.1744384765625
2023-02-23,564.1727905273438
2023-02-24,556.7757568359375
2023-02-27,566.1720581054688
2023-02-28,560.5742797851562
2023-03-01,560.1744384765625
2023-03-02,563.5730590820312
2023-03-03,557.575439453125
2023-03-06,569.7705078125
2023-03-07,564.3726806640625
2023-03-08,562.7734375
2023-03-09,556.1760864257812
2023-03-10,540.582275390625
2023-03-13,534.1849365234375
2023-03-14,542.9813232421875
2023-03-15,539.9825439453125
2023-03-16,549.5786743164062
2023-03-17,545.38037109375
2023-03-20,547.9793090820312
2023-03-21,553.9769897460938
2023-03-22,557.9754028320312
2023-03-23,563.7730102539062
2023-03-24,549.978515625
2023-03-27,550.9781494140625
2023-03-28,541.1820678710938
2023-03-29,550.9781494140625
2023-03-30,559.5746459960938
2023-03-31,562.7734375
2023-04-03,559.7745971679688
2023-04-04,561.9737548828125
2023-04-05,542.7814331054688
2023-04-06,546.5799560546875
2023-04-11,550.178466796875
2023-04-12,556.9757690429688
2023-04-13,569.5706176757812
2023-04-14,580.1664428710938
2023-04-17,582.765380859375
2023-04-18,577.3674926757812
2023-04-19,569.1708984375
2023-04-20,574.568603515625
2023-04-21,582.1655883789062
2023-04-24,579.1668090820312
2023-04-25,574.1688232421875
2023-04-26,573.7689208984375
2023-04-27,570.8218383789062
2023-04-28,574.0208740234375
2023-05-02,577.219970703125
2023-05-03,578.2196655273438
2023-05-04,573.2211303710938
2023-05-05,579.619140625
2023-05-09,566.0233764648438
2023-05-10,563.2242431640625
2023-05-11,566.6231689453125
2023-05-12,560.0252685546875
2023-05-15,563.2242431640625
2023-05-16,557.825927734375
2023-05-17,557.825927734375
2023-05-18,554.826904296875
2023-05-19,553.2274169921875
2023-05-22,559.4254150390625
2023-05-23,547.629150390625
2023-05-24,532.8338012695312
2023-05-25,524.6362915039062
2023-05-26,529.034912109375
2023-05-30,524.6362915039062
2023-05-31,523.4366455078125
2023-06-01,531.2342529296875
2023-06-02,536.632568359375
2023-06-05,525.8358764648438
2023-06-06,529.6346435546875
2023-06-07,526.6356811523438
2023-06-08,520.6375732421875
2023-06-09,521.6372680664062
2023-06-12,523.2367553710938
2023-06-13,527.0355834960938
2023-06-14,526.2359008789062
2023-06-15,531.0343017578125
2023-06-16,533.4334716796875
2023-06-19,528.8349609375
2023-06-20,520.8374633789062
2023-06-21,508.44134521484375
2023-06-22,498.9443054199219
2023-06-23,503.2429504394531
2023-06-26,501.6434326171875
2023-06-27,509.2411193847656
2023-06-28,515.8390502929688
2023-06-29,517.2386474609375
2023-06-30,523.0367431640625
2023-07-03,519.8377685546875
2023-07-04,526.4356689453125
2023-07-05,522.237060546875
2023-07-06,517.2386474609375
2023-07-07,520.4375610351562
2023-07-10,517.0386962890625
2023-07-11,517.4384155273438
2023-07-12,531.4342041015625
2023-07-13,534.2333374023438
2023-07-14,541.4310302734375
2023-07-17,541.4310302734375
2023-07-18,541.2310791015625
2023-07-19,568.0227661132812
2023-07-20,556.0264892578125
2023-07-21,550.2283325195312
2023-07-24,549.8284301757812
2023-07-25,550.0283813476562
2023-07-26,547.629150390625
2023-07-27,552.4276123046875
2023-07-28,558.6256713867188
2023-07-31,570.2221069335938
2023-08-01,580.4188842773438
2023-08-02,566.6231689453125
2023-08-03,567.2230224609375
2023-08-04,574.0208740234375
2023-08-07,569.6222534179688
2023-08-08,575.2205810546875
2023-08-09,576.6200561523438
2023-08-10,588.0164794921875
2023-08-11,576.4200439453125
2023-08-14,581.0187377929688
2023-08-15,573.8209228515625
2023-08-16,558.8256225585938
2023-08-17,553.2274169921875
2023-08-18,547.629150390625
2023-08-21,539.0317993164062
2023-08-22,540.031494140625
2023-08-23,548.22900390625
2023-08-24,544.2301635742188
2023-08-25,544.6300659179688
2023-08-29,556.2265014648438
2023-08-30,562.0245971679688
2023-08-31,559.8253173828125
2023-09-01,558.8256225585938
2023-09-04,563.4241333007812
2023-09-05,561.0249633789062
2023-09-06,565.023681640625
2023-09-07,560.2252197265625
2023-09-08,562.62451171875
2023-09-11,556.8262329101562
2023-09-12,553.4273071289062
2023-09-13,555.02685546875
2023-09-14,559.2255249023438
2023-09-15,561.4248046875
2023-09-18,544.6300659179688
2023-09-19,545.8296508789062
2023-09-20,562.2245483398438
2023-09-21,554.2271118164062
2023-09-22,567.4229125976562
2023-09-25,570.2221069335938
2023-09-26,566.223388671875
2023-09-27,562.4244995117188
2023-09-28,550.8633422851562
2023-09-29,562.0606079101562
2023-10-02,554.2625732421875
2023-10-03,558.0616455078125
2023-10-04,561.2608032226562
2023-10-05,570.0586547851562
2023-10-06,577.456787109375
2023-10-09,573.857666015625
2023-10-10,583.855224609375
2023-10-11,592.6530151367188
2023-10-12,593.6527709960938
2023-10-13,585.4547729492188
2023-10-16,582.655517578125
2023-10-17,588.0541381835938
2023-10-18,575.2573852539062
2023-10-19,493.0777282714844
2023-10-20,486.0794982910156
2023-10-23,488.6788024902344
2023-10-24,488.4788513183594
2023-10-25,485.1796569824219
2023-10-26,482.38037109375
2023-10-27,479.0811767578125
2023-10-30,480.380859375
2023-10-31,472.8827209472656
2023-11-01,467.78399658203125
2023-11-02,473.08270263671875
2023-11-03,469.88348388671875
2023-11-06,462.78521728515625
2023-11-07,465.28460693359375
2023-11-08,469.28363037109375
2023-11-09,487.5790710449219
2023-11-10,481.5805969238281
2023-11-13,483.4801025390625
2023-11-14,506.47442626953125
2023-11-15,511.873046875
2023-11-16,501.27569580078125
2023-11-17,502.8752746582031
2023-11-20,501.675537109375
2023-11-21,497.2766418457031
2023-11-22,502.67535400390625
2023-11-23,506.874267578125
2023-11-24,509.0737609863281
2023-11-27,533.4676513671875
2023-11-28,527.4691162109375
2023-11-29,546.4644165039062
2023-11-30,544.4649658203125
2023-12-01,552.0631103515625
2023-12-04,548.8638916015625
2023-12-05,547.4641723632812
2023-12-06,563.6602172851562
2023-12-07,572.05810546875
