Date,BAG.L
2022-02-23,489.53875732421875
2022-02-24,481.5462951660156
2022-02-25,498.0307922363281
2022-02-28,516.5133666992188
2022-03-01,505.5237121582031
2022-03-02,492.53594970703125
2022-03-03,492.53594970703125
2022-03-04,489.0392150878906
2022-03-07,489.53875732421875
2022-03-08,493.0354919433594
2022-03-09,495.0335998535156
2022-03-10,491.536865234375
2022-03-11,496.0326843261719
2022-03-14,500.5284118652344
2022-03-15,492.0364074707031
2022-03-16,489.0392150878906
2022-03-17,512.5171508789062
2022-03-18,511.5180358886719
2022-03-21,515.5143432617188
2022-03-22,521.5086669921875
2022-03-23,521.5086669921875
2022-03-24,514.5152587890625
2022-03-25,521.5086669921875
2022-03-28,531.4993286132812
2022-03-29,543.4879760742188
2022-03-30,529.5010375976562
2022-03-31,534.4964599609375
2022-04-01,538.4926147460938
2022-04-04,529.5010375976562
2022-04-05,539.49169921875
2022-04-06,539.49169921875
2022-04-07,537.4935913085938
2022-04-08,539.49169921875
2022-04-11,544.4869995117188
2022-04-12,548.4832153320312
2022-04-13,544.4869995117188
2022-04-14,539.49169921875
2022-04-19,540.4908447265625
2022-04-20,541.4898071289062
2022-04-21,552.4794921875
2022-04-22,549.4823608398438
2022-04-25,544.4869995117188
2022-04-26,552.4794921875
2022-04-27,557.4747314453125
2022-04-28,572.4606323242188
2022-04-29,580.453125
2022-05-03,587.4466552734375
2022-05-04,583.4501953125
2022-05-05,581.4522094726562
2022-05-06,554.4776000976562
2022-05-09,560.4719848632812
2022-05-10,564.4681396484375
2022-05-11,567.4653930664062
2022-05-12,552.5767211914062
2022-05-13,568.5645141601562
2022-05-16,563.5682983398438
2022-05-17,556.5736694335938
2022-05-18,543.5836791992188
2022-05-19,531.5928955078125
2022-05-20,535.5897827148438
2022-05-23,542.5844116210938
2022-05-24,552.5767211914062
2022-05-25,551.5775146484375
2022-05-26,553.5759887695312
2022-05-27,545.5820922851562
2022-05-30,537.5881958007812
2022-05-31,535.5897827148438
2022-06-01,533.5913696289062
2022-06-06,534.590576171875
2022-06-07,524.5982666015625
2022-06-08,524.5982666015625
2022-06-09,524.5982666015625
2022-06-10,522.5996704101562
2022-06-13,517.6035766601562
2022-06-14,517.6035766601562
2022-06-15,522.5996704101562
2022-06-16,522.5996704101562
2022-06-17,515.6051635742188
2022-06-20,525.5974731445312
2022-06-21,513.6065063476562
2022-06-22,516.6043090820312
2022-06-23,506.6119384765625
2022-06-24,512.6073608398438
2022-06-27,510.6089172363281
2022-06-28,522.5996704101562
2022-06-29,519.6019897460938
2022-06-30,516.6043090820312
2022-07-01,519.6019897460938
2022-07-04,515.6051635742188
2022-07-05,503.6142578125
2022-07-06,525.5974731445312
2022-07-07,530.5936279296875
2022-07-08,531.5928955078125
2022-07-11,549.5791625976562
2022-07-12,551.5775146484375
2022-07-13,549.5791625976562
2022-07-14,549.5791625976562
2022-07-15,546.5813598632812
2022-07-18,548.579833984375
2022-07-19,551.5775146484375
2022-07-20,550.578369140625
2022-07-21,551.5775146484375
2022-07-22,552.5767211914062
2022-07-25,555.5745239257812
2022-07-26,555.5745239257812
2022-07-27,549.5791625976562
2022-07-28,550.578369140625
2022-07-29,540.5860595703125
2022-08-01,542.5844116210938
2022-08-02,545.5820922851562
2022-08-03,552.5767211914062
2022-08-04,552.5767211914062
2022-08-05,549.5791625976562
2022-08-08,541.5851440429688
2022-08-09,548.579833984375
2022-08-10,542.5844116210938
2022-08-11,537.5881958007812
2022-08-12,534.590576171875
2022-08-15,529.5942993164062
2022-08-16,527.5958862304688
